id,label,unaged_mean_raw,unaged_normalised_signal_pct,unaged_area_fraction_pct,unaged_skewness,aged_mean_raw,aged_normalised_signal_pct,aged_area_fraction_pct,aged_skewness,delta_normalised_signal_pct,delta_area_fraction_pct,delta_mean_raw,delta_skewness
P.00,EB.HA control,203.73,100.0,43.3,-0.114,145.63,71.5,47.62,-0.704,-28.5,4.32,-58.1,-0.59
P.01,EB Kremer,195.3,95.9,43.42,0.284,180.97,88.8,44.65,0.096,-7.1,1.23,-14.33,-0.188
G.01,HA Finer,148.4,72.8,45.98,-0.387,93.93,46.1,47.93,-0.086,-26.7,1.95,-54.47,0.301
S.CAR,Carbon overlay,14.01,6.9,49.8,3.151,43.99,21.6,49.61,1.205,14.7,-0.19,29.98,-1.946
S.FEO,Iron oxide overlay,39.27,19.3,47.63,1.23,39.08,19.2,47.05,0.801,-0.1,-0.58,-0.19,-0.429
S.ORP,Orpiment overlay,40.13,19.7,48.84,1.731,20.97,10.3,48.07,1.948,-9.4,-0.77,-19.16,0.217
M.ORP.01,Orpiment 1:9,213.01,104.6,46.91,-0.175,107.11,52.6,49.71,0.138,-52.0,2.8,-105.9,0.313
M.ORP.02,Orpiment 1:1,176.25,86.5,47.43,-1.065,115.2,56.5,47.24,-0.441,-30.0,-0.19,-61.05,0.624
M.ORP.03,Orpiment 9:1,78.47,38.5,47.34,0.157,65.41,32.1,35.23,-0.3,-6.4,-12.11,-13.06,-0.457
M.CAR.01,Carbon 1:9,2.76,1.4,29.87,-0.038,1.85,0.9,34.07,0.153,-0.5,4.2,-0.91,0.191
M.CAR.02,Carbon 1:1,1.16,0.6,30.21,0.844,1.95,1.0,35.49,0.538,0.4,5.28,0.79,-0.306
M.CAR.03,Carbon 9:1,1.09,0.5,30.89,0.558,1.3,0.6,35.66,0.712,0.1,4.77,0.21,0.154
M.ASH.01,Ash 1:9,216.53,106.3,49.55,0.116,212.75,104.4,37.03,-0.117,-1.9,-12.52,-3.78,-0.233
M.ASH.02,Ash 1:1,192.37,94.4,48.5,0.558,187.31,91.9,49.5,0.348,-2.5,1.0,-5.06,-0.21
M.ASH.03,Ash 9:1,44.34,21.8,47.81,-0.246,45.67,22.4,31.31,-0.018,0.6,-16.5,1.33,0.228
A.01,Animal glue,205.02,100.6,43.63,-1.592,147.01,72.2,48.66,-0.927,-28.4,5.03,-58.01,0.665
A.02,Animal glue + JP,216.78,106.4,37.39,0.018,148.59,72.9,46.39,-0.88,-33.5,9.0,-68.19,-0.898
