id,label,group,n_pairs,mean_unaged,mean_aged,delta_mean,median_unaged,median_aged,delta_median
P.00,EB.HA control,Pigment,3529,203.79,145.48,-58.3,204.0,150.0,-54.0
P.01,EB Kremer,Pigment,3529,195.23,180.98,-14.25,195.0,181.0,-14.0
G.01,HA Finer,Pigment,3529,148.24,94.14,-54.1,149.0,94.0,-55.0
S.CAR,Carbon overlay,Stratigraphy,3529,13.23,38.89,25.66,9.0,22.0,13.0
S.FEO,Iron oxide overlay,Stratigraphy,3529,38.93,38.55,-0.38,37.0,38.0,1.0
S.ORP,Orpiment overlay,Stratigraphy,3529,39.51,20.7,-18.82,35.0,17.0,-18.0
M.ORP.01,Orpiment 1:9,Mixture,3529,213.14,107.21,-105.93,213.0,107.0,-106.0
M.ORP.02,Orpiment 1:1,Mixture,3529,176.45,115.5,-60.95,177.0,116.0,-61.0
M.ORP.03,Orpiment 9:1,Mixture,3529,78.52,65.46,-13.06,78.0,66.0,-12.0
M.CAR.01,Carbon 1:9,Mixture,3529,2.78,1.84,-0.94,3.0,2.0,-1.0
M.CAR.02,Carbon 1:1,Mixture,3529,1.15,1.95,0.8,1.0,2.0,1.0
M.CAR.03,Carbon 9:1,Mixture,3529,1.09,1.31,0.22,1.0,1.0,0.0
M.ASH.01,Ash 1:9,Mixture,3529,216.47,212.69,-3.78,216.0,213.0,-3.0
M.ASH.02,Ash 1:1,Mixture,3529,192.31,187.29,-5.03,190.0,186.0,-4.0
M.ASH.03,Ash 9:1,Mixture,3529,44.36,45.73,1.37,44.0,46.0,2.0
A.01,Animal glue,Alteration,3529,205.29,147.31,-57.98,206.0,148.0,-58.0
A.02,Animal glue + JP,Alteration,3529,216.78,148.81,-67.97,217.0,150.0,-67.0
