id,label,unaged_mean_raw,unaged_normalised_signal_pct,unaged_area_fraction_pct,unaged_skewness,aged_mean_raw,aged_normalised_signal_pct,aged_area_fraction_pct,aged_skewness,delta_normalised_signal_pct,delta_area_fraction_pct,delta_mean_raw,delta_skewness
P.00,EB.HA control,201.07,100.0,43.98,-0.007,150.41,74.8,38.89,-0.866,-25.2,-5.09,-50.66,-0.859
P.01,EB Kremer,210.4,104.6,39.01,-0.257,202.48,100.7,36.6,-0.024,-3.9,-2.41,-7.92,0.233
G.01,HA Finer,152.12,75.7,48.23,-0.589,82.57,41.1,49.15,-0.507,-34.6,0.92,-69.55,0.082
S.CAR,Carbon overlay,24.78,12.3,45.36,2.535,73.25,36.4,49.45,0.719,24.1,4.09,48.47,-1.816
S.FEO,Iron oxide overlay,37.82,18.8,49.92,-0.009,27.01,13.4,47.01,0.661,-5.4,-2.91,-10.81,0.67
S.ORP,Orpiment overlay,51.44,25.6,47.3,1.057,18.17,9.0,47.13,0.053,-16.6,-0.17,-33.27,-1.004
M.ORP.01,Orpiment 1:9,221.4,110.1,28.11,-0.105,162.72,80.9,47.12,-0.142,-29.2,19.01,-58.68,-0.037
M.ORP.02,Orpiment 1:1,202.21,100.6,44.34,-0.275,157.18,78.2,49.64,-0.101,-22.4,5.3,-45.03,0.174
M.ORP.03,Orpiment 9:1,95.74,47.6,39.95,0.096,66.99,33.3,45.6,-0.417,-14.3,5.65,-28.75,-0.513
M.CAR.01,Carbon 1:9,8.87,4.4,41.31,-0.172,7.87,3.9,40.44,-0.335,-0.5,-0.87,-1.0,-0.163
M.CAR.02,Carbon 1:1,0.82,0.4,16.89,0.255,0.76,0.4,14.5,0.36,0.0,-2.39,-0.06,0.105
M.CAR.03,Carbon 9:1,0.55,0.3,45.95,0.782,0.5,0.3,38.09,1.407,0.0,-7.86,-0.05,0.625
M.ASH.01,Ash 1:9,216.61,107.7,37.17,-1.566,215.61,107.2,44.11,-1.094,-0.5,6.94,-1.0,0.472
M.ASH.02,Ash 1:1,195.58,97.3,43.16,-0.064,194.5,96.7,49.46,-0.111,-0.6,6.3,-1.08,-0.047
M.ASH.03,Ash 9:1,41.49,20.6,38.18,-0.311,44.75,22.3,41.99,-0.964,1.7,3.81,3.26,-0.653
A.01,Animal glue,200.32,99.6,48.61,-0.133,162.53,80.8,42.64,-0.257,-18.8,-5.97,-37.79,-0.124
A.02,Animal glue + JP,200.7,99.8,42.42,0.161,165.23,82.2,47.45,0.077,-17.6,5.03,-35.47,-0.084
