id,group,label,normalised_signal_pct,area_fraction_pct,mean_raw,median_raw,std_raw,p10,p90,skewness,cv,n_pixels,n_masked,pct_masked,file_found
P.00,Pigment,EB.HA control,100.0,43.98,201.07,201.0,2.69,197.0,205.0,-0.007,0.013,9554,446,4.5,True
P.01,Pigment,EB Kremer,104.6,39.01,210.4,211.0,3.24,206.0,214.0,-0.257,0.015,9745,255,2.5,True
G.01,Pigment,Finer,75.7,48.23,152.12,154.0,7.81,140.0,161.0,-0.589,0.051,9739,261,2.6,True
S.CAR,Stratigraphy,Carbon overlay,12.3,45.36,24.78,8.0,39.95,4.0,74.0,2.535,1.612,8855,1145,11.5,True
S.FEO,Stratigraphy,Iron oxide overlay,18.8,49.92,37.82,41.0,16.7,15.0,58.0,-0.009,0.442,9769,231,2.3,True
S.ORP,Stratigraphy,Orpiment overlay,25.6,47.3,51.44,45.0,16.41,36.0,80.0,1.057,0.319,9472,528,5.3,True
M.ORP.01,Mixture,Orpiment 1:9,110.1,28.11,221.4,222.0,1.98,219.0,224.0,-0.105,0.009,9563,437,4.4,True
M.ORP.02,Mixture,Orpiment 1:1,100.6,44.34,202.21,203.0,5.48,194.0,209.0,-0.275,0.027,9538,462,4.6,True
M.ORP.03,Mixture,Orpiment 9:1,47.6,39.95,95.74,96.0,3.69,91.0,101.0,0.096,0.039,9571,429,4.3,True
M.CAR.01,Mixture,Carbon 1:9,4.4,41.31,8.87,9.0,1.99,6.0,11.0,-0.172,0.224,9555,445,4.5,True
M.CAR.02,Mixture,Carbon 1:1,0.4,16.89,0.82,1.0,0.7,0.0,2.0,0.255,0.846,9675,325,3.2,True
M.CAR.03,Mixture,Carbon 9:1,0.3,45.95,0.55,0.0,0.65,0.0,1.0,0.782,1.19,9804,196,2.0,True
M.ASH.01,Mixture,Ash 1:9,107.7,37.17,216.61,218.0,4.57,211.0,221.0,-1.566,0.021,9862,138,1.4,True
M.ASH.02,Mixture,Ash 1:1,97.3,43.16,195.58,196.0,4.71,189.0,202.0,-0.064,0.024,9438,562,5.6,True
M.ASH.03,Mixture,Ash 9:1,20.6,38.18,41.49,42.0,1.9,39.0,44.0,-0.311,0.046,9754,246,2.5,True
A.01,Alteration,Animal glue,99.6,48.61,200.32,200.0,2.67,197.0,204.0,-0.133,0.013,9526,474,4.7,True
A.02,Alteration,Glue + JP,99.8,42.42,200.7,201.0,4.59,195.0,207.0,0.161,0.023,9512,488,4.9,True
